DPTO,Year,terrorist_attacks,atentados,masacres,reclutamiento,secuestro,conflict_intensity
amazonas,2003,0,0,0,2,0,2
amazonas,2004,0,0,0,0,0,0
amazonas,2005,0,0,0,1,0,1
amazonas,2006,0,0,0,1,0,1
amazonas,2007,0,0,0,0,0,0
amazonas,2008,0,0,0,1,0,1
amazonas,2009,0,0,0,0,0,0
amazonas,2010,0,0,0,0,0,0
amazonas,2011,0,0,0,0,0,0
amazonas,2012,0,0,0,0,0,0
amazonas,2013,0,0,0,1,0,1
amazonas,2014,0,0,0,1,0,1
amazonas,2015,0,0,0,0,0,0
amazonas,2016,0,0,0,0,0,0
amazonas,2017,0,0,0,0,0,0
amazonas,2018,0,0,0,0,0,0
antioquia,2003,0,6,36,135,348,525
antioquia,2004,0,3,22,104,262,391
antioquia,2005,0,0,16,76,146,238
antioquia,2006,0,0,12,50,88,150
antioquia,2007,0,0,17,37,67,121
antioquia,2008,0,3,10,23,61,97
antioquia,2009,0,5,4,21,37,67
antioquia,2010,0,1,5,31,46,83
antioquia,2011,0,0,4,27,45,76
antioquia,2012,0,0,2,17,72,91
antioquia,2013,0,0,4,10,18,32
antioquia,2014,0,2,1,10,3,16
antioquia,2015,0,1,2,6,4,13
antioquia,2016,0,0,1,2,3,6
antioquia,2017,0,0,0,0,0,0
antioquia,2018,0,0,0,0,0,0
arauca,2003,0,8,12,24,31,75
arauca,2004,0,1,5,28,20,54
arauca,2005,0,2,0,24,24,50
arauca,2006,0,0,0,11,17,28
arauca,2007,0,0,1,7,19,27
arauca,2008,0,0,1,11,15,27
arauca,2009,0,0,3,13,11,27
arauca,2010,0,0,1,12,31,44
arauca,2011,0,0,0,12,24,36
arauca,2012,0,1,0,9,20,30
arauca,2013,0,0,0,8,17,25
arauca,2014,0,0,0,4,12,16
arauca,2015,0,1,0,0,10,11
arauca,2016,0,0,0,4,11,15
arauca,2017,0,0,0,0,0,0
arauca,2018,0,0,0,0,1,1
atlantico,2003,0,1,3,2,3,9
atlantico,2004,0,0,2,2,2,6
atlantico,2005,0,0,1,0,2,3
atlantico,2006,0,0,3,0,1,4
atlantico,2007,0,0,0,1,1,2
atlantico,2008,0,0,0,0,1,1
atlantico,2009,0,0,0,0,1,1
atlantico,2010,0,0,1,0,1,2
atlantico,2011,0,0,1,0,1,2
atlantico,2012,0,0,0,0,1,1
atlantico,2013,0,0,0,0,1,1
atlantico,2014,0,0,0,0,0,0
atlantico,2015,0,0,0,0,0,0
atlantico,2016,0,0,0,0,0,0
atlantico,2017,0,0,0,0,0,0
atlantico,2018,0,0,0,0,0,0
bolivar,2003,0,0,5,13,51,69
bolivar,2004,0,0,0,20,40,60
bolivar,2005,0,0,2,12,46,60
bolivar,2006,0,0,1,16,29,46
bolivar,2007,0,0,1,14,14,29
bolivar,2008,0,0,1,6,9,16
bolivar,2009,0,0,0,5,5,10
bolivar,2010,0,0,0,5,5,10
bolivar,2011,0,0,2,4,4,10
bolivar,2012,0,0,0,4,7,11
bolivar,2013,0,0,0,7,4,11
bolivar,2014,0,0,0,6,0,6
bolivar,2015,0,0,2,2,2,6
bolivar,2016,0,0,0,0,4,4
bolivar,2017,0,0,0,0,0,0
bolivar,2018,0,0,0,0,0,0
boyaca,2003,0,2,0,21,45,68
boyaca,2004,0,0,6,36,13,55
boyaca,2005,0,0,0,6,9,15
boyaca,2006,0,0,0,1,7,8
boyaca,2007,0,0,0,1,4,5
boyaca,2008,0,0,0,2,1,3
boyaca,2009,0,0,0,0,4,4
boyaca,2010,0,0,0,0,0,0
boyaca,2011,0,0,0,1,2,3
boyaca,2012,0,0,0,1,5,6
boyaca,2013,0,0,0,0,0,0
boyaca,2014,0,0,0,0,2,2
boyaca,2015,0,0,0,0,1,1
boyaca,2016,0,0,0,0,0,0
boyaca,2017,0,0,0,0,0,0
boyaca,2018,0,0,0,0,0,0
caldas,2003,0,0,9,17,51,77
caldas,2004,0,0,2,18,22,42
caldas,2005,0,0,2,14,20,36
caldas,2006,1,0,0,10,12,23
caldas,2007,0,0,0,7,11,18
caldas,2008,0,0,3,1,4,8
caldas,2009,0,0,0,1,2,3
caldas,2010,0,0,1,1,0,2
caldas,2011,0,0,0,0,1,1
caldas,2012,0,0,0,1,5,6
caldas,2013,0,0,0,0,0,0
caldas,2014,0,0,0,1,0,1
