DEPARTAMENTO,PERIODO,Área Sembrada(ha),Producción(t),Rendimiento(t/ha),GRUPO DE CULTIVO,SUBGRUPO DE CULTIVO
amazonas,2016,35,208,11.5,FRUTALES,AGUACATE
antioquia,2016,11326,67034,590.1000000000001,FRUTALES,AGUACATE
antioquia,2017,11997,133466,605.6,FRUTALES,AGUACATE
antioquia,2018,13047,137293,628.0000000000001,FRUTALES,AGUACATE
arauca,2016,272,3750,65.0,FRUTALES,AGUACATE
arauca,2017,318,3922,65.5,FRUTALES,AGUACATE
arauca,2018,358,3867,66.0,FRUTALES,AGUACATE
atlantico,2017,32,55,12.0,FRUTALES,AGUACATE
atlantico,2018,43,55,12.0,FRUTALES,AGUACATE
bolivar,2016,2652,20996,79.0,FRUTALES,AGUACATE
bolivar,2017,2972,26744,88.0,FRUTALES,AGUACATE
bolivar,2018,2992,27444,88.0,FRUTALES,AGUACATE
boyaca,2016,853,2039,117.0,FRUTALES,AGUACATE
boyaca,2017,1091,3912,169.6,FRUTALES,AGUACATE
boyaca,2018,1246,6275,199.6,FRUTALES,AGUACATE
caldas,2016,8710,42576,219.79999999999998,FRUTALES,AGUACATE
caldas,2017,9821,81448,243.8,FRUTALES,AGUACATE
caldas,2018,10958,88734,256.70000000000005,FRUTALES,AGUACATE
caqueta,2016,45,4,4.0,FRUTALES,AGUACATE
caqueta,2017,45,5,4.5,FRUTALES,AGUACATE
caqueta,2018,45,25,10.0,FRUTALES,AGUACATE
casanare,2016,233,313,60.5,FRUTALES,AGUACATE
casanare,2017,217,514,59.0,FRUTALES,AGUACATE
casanare,2018,258,620,71.0,FRUTALES,AGUACATE
cauca,2016,1142,4395,81.1,FRUTALES,AGUACATE
cauca,2017,1026,4178,62.5,FRUTALES,AGUACATE
cauca,2018,1348,4828,66.5,FRUTALES,AGUACATE
cesar,2016,2875,14770,110.1,FRUTALES,AGUACATE
cesar,2017,2818,13241,107.6,FRUTALES,AGUACATE
cesar,2018,3341,14119,112.9,FRUTALES,AGUACATE
choco,2016,313,1529,21.6,FRUTALES,AGUACATE
choco,2017,464,2927,32.3,FRUTALES,AGUACATE
choco,2018,710,4086,46.699999999999996,FRUTALES,AGUACATE
cordoba,2016,7,14,3.0,FRUTALES,AGUACATE
cordoba,2017,7,21,3.0,FRUTALES,AGUACATE
cordoba,2018,7,21,3.0,FRUTALES,AGUACATE
cundinamarca,2016,1967,7092,250.99999999999997,FRUTALES,AGUACATE
cundinamarca,2017,2224,7449,283.0,FRUTALES,AGUACATE
cundinamarca,2018,2470,10166,308.9,FRUTALES,AGUACATE
guainia,2016,1,1,1.5,FRUTALES,AGUACATE
guajira,2016,522,2258,46.0,FRUTALES,AGUACATE
guajira,2017,537,2304,46.0,FRUTALES,AGUACATE
guajira,2018,669,2439,46.0,FRUTALES,AGUACATE
huila,2016,2367,11585,369.0,FRUTALES,AGUACATE
huila,2017,2821,17146,372.5,FRUTALES,AGUACATE
huila,2018,2823,22094,390.79999999999995,FRUTALES,AGUACATE
meta,2016,1500,5951,111.7,FRUTALES,AGUACATE
meta,2017,1649,15570,117.7,FRUTALES,AGUACATE
meta,2018,1752,15792,118.0,FRUTALES,AGUACATE
narino,2016,549,974,101.9,FRUTALES,AGUACATE
narino,2017,700,1780,125.2,FRUTALES,AGUACATE
narino,2018,907,2445,143.4,FRUTALES,AGUACATE
norte de santander,2016,849,5503,194.8,FRUTALES,AGUACATE
norte de santander,2017,914,6439,220.5,FRUTALES,AGUACATE
