subnational1,area_ha,extent_2000_ha,extent_2010_ha,gain_2000_2012_ha,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total_loss_he
amazonas,10746283,10601189,10600155,4622,1152,996,854,1013,1183,1055,689,1366,1153,1909,1268,1863,1482,2536,1682,3388,2721,1783,28093.0
antioquia,6316264,5129990,5085243,41089,25036,19104,14497,33767,26239,28098,25605,24553,28352,30553,21632,31811,12561,21432,14432,29547,52707,29645,469571.0
arauca,2533794,850905,923190,8294,4465,2974,1684,2718,4372,1746,4603,4258,6135,2604,3338,4535,2167,3448,3525,8022,11768,7726,80088.0
atlantico,441530,88455,96805,5105,1201,289,140,1012,401,379,300,1977,1003,122,469,501,230,443,233,402,1769,579,11450.0
bolivar,2603469,1770483,1744870,27424,8791,6492,5200,7815,6800,8281,8264,8020,11109,8235,8076,10417,7671,10151,9413,24703,31682,19145,200265.0
boyaca,2337594,1250176,1322481,2835,2099,1574,1109,3016,1865,2515,2427,1564,2075,2096,1817,2615,612,1058,527,1098,2589,1641,32297.0
caldas,755440,596475,591042,3538,2141,1960,930,3158,1920,2547,1679,1590,2319,1738,2811,2122,1296,2061,901,2749,5021,2991,39934.0
caqueta,9014193,8047774,7900052,40963,16415,26835,10204,30510,34369,13226,54442,50997,27375,22022,28555,25286,31133,40498,22892,37862,62150,68347,603118.0
casanare,4462185,1008592,1072551,10789,3762,3001,2730,5910,4331,6096,6265,5707,7678,3028,4366,4939,2689,4388,4008,4934,6581,3242,83655.0
cauca,2916375,2368616,2393967,12094,6294,3503,2588,6512,5342,4641,4034,6382,7124,3349,6229,9395,2855,3494,2647,5020,8112,3699,91220.0
cesar,2291721,1145797,1071209,33714,5785,5376,10213,5009,4900,5154,11531,4220,6550,4259,3822,5193,2887,4160,4152,9602,12129,7925,112867.0
choco,4523015,4374411,4373438,9122,2436,2032,1053,5837,2969,2613,4197,4109,5650,5975,3517,5351,2705,3998,2958,17850,11535,5138,89923.0
cundinamarca,2444865,1400117,1452518,6949,5962,3156,1430,5433,2749,3427,4959,3309,6740,4977,2883,4646,1350,1785,795,1245,2545,2004,59395.0
cordoba,2492099,992280,1081095,16820,12277,4590,2758,7326,5737,4323,4819,8134,6575,6103,6312,7879,2528,3984,1929,5727,7975,4603,103579.0
guainia,6881931,6718043,6724957,3930,1403,838,1204,2056,1257,695,2110,1423,959,1487,841,1287,1688,1617,1165,3692,2430,3105,29257.0
guaviare,5559213,5318157,5266152,43336,13843,11157,6073,18143,6363,17452,11485,15991,14784,17787,16616,12752,8775,11773,8980,16278,38527,44179,290958.0
huila,2030106,1442866,1417777,6632,3078,4108,1399,2300,3992,3341,5352,3855,5603,3794,3419,6414,1050,1849,988,2805,6181,3493,63021.0
guajira,2101207,699573,632934,9490,9421,2104,7388,1696,2937,3749,4055,3406,3747,2184,2978,3689,1813,3559,3106,3190,3272,3413,65707.0
magdalena,2154674,873338,865252,35644,7705,3706,9650,5824,3342,4391,4532,7171,6797,3024,2862,5368,2170,5300,4524,9017,12735,7910,106028.0
meta,8532554,4340033,4297903,50783,25577,21326,10179,37532,21785,26120,49442,22883,20921,21783,26253,16091,13163,21209,11758,25528,44206,58260,474016.0
narino,3191532,2687014,2715319,19116,12778,6958,2510,12128,2437,8294,4479,5461,8043,4038,2791,7835,2554,3141,3689,5773,8314,2118,103341.0
norte de santander,2280569,1774236,1776243,21393,10969,5078,4192,6513,4703,4444,7437,7118,10764,10002,5975,13979,6212,12726,9668,23810,17577,17132,178299.0
putumayo,2433196,2303757,2311715,55596,10042,14292,4286,9693,9887,5052,12504,10545,8542,7844,9383,12129,13031,14717,12084,20509,24584,23538,222662.0
quindio,173062,133257,130471,1441,1040,939,291,543,791,909,368,354,612,722,1059,1197,182,376,137,502,1288,425,11735.0
risaralda,403834,344246,336903,1525,967,1017,363,1081,1007,1118,619,646,991,765,1851,1087,480,555,266,997,2254,1216,17280.0
san andres,5242,3689,3686,14,10,0,17,0,0,1,6,0,0,0,0,0,0,3,0,0,0,1,38.0
santander,3028385,2050872,1993937,29112,13762,10517,9772,16491,12593,15326,18124,10381,15790,11348,7172,12100,4721,7499,5085,7395,15905,8949,202930.0
sucre,1080759,415608,421770,3726,3667,1341,1060,1899,1373,1125,989,1545,2477,918,2062,1440,1331,993,1949,5539,5700,2305,37713.0
tolima,2340900,1455432,1475445,8682,5375,4402,1668,4399,3650,4162,5652,3864,8824,3923,3610,5872,1697,2787,1373,2721,7642,2988,74609.0
valle del cauca,2200181,1622919,1612034,13545,5266,2506,1024,3618,3001,4274,1555,2951,3858,3761,4024,4185,1591,2086,892,1947,2902,1278,50719.0
vaupes,5324229,5265907,5273666,8034,2085,2368,1640,3507,1453,1262,2135,3030,1664,3378,1215,2175,3281,3772,1747,3928,4039,3168,45847.0
vichada,10075474,4726829,4773418,17437,5252,7688,4310,7380,4997,4147,4371,5039,3676,3339,2622,3552,2994,4628,3349,5176,8030,10491,91041.0
